$ ./bin/loop &
[1] 8912
$ sar -P ALL 1 1
Linux 5.4.0-165-generic (***) 	2023年10月21日 	_x86_64_	(4 CPU)

23時41分18秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
23時41分19秒     all     25.06      0.00      0.25      0.00      0.00     74.69
23時41分19秒       0      0.00      0.00      0.00      0.00      0.00    100.00
23時41分19秒       1    100.00      0.00      0.00      0.00      0.00      0.00
23時41分19秒       2      0.00      0.00      0.99      0.00      0.00     99.01
23時41分19秒       3      0.00      0.00      0.00      0.00      0.00    100.00

平均値:      CPU     %user     %nice   %system   %iowait    %steal     %idle
平均値:      all     25.06      0.00      0.25      0.00      0.00     74.69
平均値:        0      0.00      0.00      0.00      0.00      0.00    100.00
平均値:        1    100.00      0.00      0.00      0.00      0.00      0.00
平均値:        2      0.00      0.00      0.99      0.00      0.00     99.01
平均値:        3      0.00      0.00      0.00      0.00      0.00    100.00
