$ ./bin/ppidloop &
[1] 9193
$ sar -P ALL 1 1
Linux 5.4.0-165-generic (***) 	2023年10月21日 	_x86_64_	(4 CPU)

23時46分51秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
23時46分52秒     all     15.00      0.00     10.50      0.25      0.00     74.25
23時46分52秒       0      1.00      0.00      0.00      0.00      0.00     99.00
23時46分52秒       1     58.00      0.00     42.00      0.00      0.00      0.00
23時46分52秒       2      1.00      0.00      0.00      1.00      0.00     98.00
23時46分52秒       3      0.00      0.00      0.00      0.00      0.00    100.00

平均値:      CPU     %user     %nice   %system   %iowait    %steal     %idle
平均値:      all     15.00      0.00     10.50      0.25      0.00     74.25
平均値:        0      1.00      0.00      0.00      0.00      0.00     99.00
平均値:        1     58.00      0.00     42.00      0.00      0.00      0.00
平均値:        2      1.00      0.00      0.00      1.00      0.00     98.00
平均値:        3      0.00      0.00      0.00      0.00      0.00    100.00
