$ nice -n 5 python3 ./src/loop.py &
[1] 28233
$ sar -P ALL 1 1
Linux 5.4.0-165-generic (***) 	2023年10月22日 	_x86_64_	(4 CPU)

18時13分51秒     CPU     %user     %nice   %system   %iowait    %steal     %idle
18時13分52秒     all      0.25     24.94      0.00      0.00      0.00     74.81
18時13分52秒       0      0.00      0.00      0.00      0.00      0.00    100.00
18時13分52秒       1      0.99      0.00      0.00      0.00      0.00     99.01
18時13分52秒       2      0.00    100.00      0.00      0.00      0.00      0.00
18時13分52秒       3      0.00      0.00      0.00      0.00      0.00    100.00

平均値:      CPU     %user     %nice   %system   %iowait    %steal     %idle
平均値:      all      0.25     24.94      0.00      0.00      0.00     74.81
平均値:        0      0.00      0.00      0.00      0.00      0.00    100.00
平均値:        1      0.99      0.00      0.00      0.00      0.00     99.01
平均値:        2      0.00    100.00      0.00      0.00      0.00      0.00
平均値:        3      0.00      0.00      0.00      0.00      0.00    100.00
